date,total_amount
2008-12-31,80.55
2022-10-24,337.27
2022-10-25,423.21999999999997
2022-12-31,658.23
2023-01-01,2189885.67
2023-01-02,1967393.84
2023-01-03,2392886.72
2023-01-04,2543884.82
2023-01-05,2626627.38
2023-01-06,2604590.01
2023-01-07,2565900.27
2023-01-08,2318860.06
2023-01-09,2277403.96
2023-01-10,2533210.98
2023-01-11,2663727.57
2023-01-12,2919901.17
2023-01-13,2961962.45
2023-01-14,2815487.86
2023-01-15,2506714.39
2023-01-16,2217018.22
2023-01-17,2706883.26
2023-01-18,2748227.33
2023-01-19,2916609.54
2023-01-20,2813714.11
2023-01-21,2656289.69
2023-01-22,2352606.18
2023-01-23,2336793.82
2023-01-24,2623279.72
2023-01-25,2676514.64
2023-01-26,2977634.81
2023-01-27,2856301.11
2023-01-28,2654566.35
2023-01-29,2321437.66
2023-01-30,2227439.11
2023-01-31,2563264.41
2023-02-01,313.81
